customer_id,order_date,revenue
C00001,2025-01-05,1760.85
C00001,2025-02-27,2282.76
C00001,2025-03-02,3665.91
C00001,2025-04-03,1904.49
C00001,2025-05-03,2338.87
C00001,2025-06-19,758.07
C00001,2025-07-21,2457.09
C00001,2025-08-19,1767.72
C00002,2025-01-02,2359.66
C00002,2025-02-14,833.74
C00002,2025-03-10,2372.95
C00003,2025-01-04,2451.92
C00004,2025-01-12,660.49
C00005,2025-01-19,520.52
C00005,2025-02-22,2267.36
C00006,2025-01-15,2466.58
C00007,2025-01-10,1219.18
C00007,2025-02-25,1203.16
C00008,2025-01-17,2131.93
C00008,2025-02-15,1365.37
C00009,2025-01-04,2194.15
C00009,2025-02-11,862.34
C00010,2025-01-02,3859.47
C00010,2025-02-18,2420.2
C00011,2025-01-11,1558.45
C00011,2025-02-16,2445.61
C00012,2025-01-27,646.31
C00012,2025-02-23,2757.36
C00012,2025-03-23,1445.55
C00013,2025-01-22,3341.12
C00013,2025-02-13,3582.05
C00013,2025-03-15,1615.22
C00014,2025-01-16,518.13
C00015,2025-01-05,3031.94
C00015,2025-02-28,2137.07
C00015,2025-03-13,2332.93
C00016,2025-01-27,1892.93
C00017,2025-01-23,1836.6
C00017,2025-02-13,3843.61
C00017,2025-03-06,859.8
C00018,2025-01-01,2094.36
C00019,2025-01-09,1343.14
C00019,2025-02-18,1666.24
C00020,2025-01-05,2854.83
C00021,2025-01-20,2723.38
C00022,2025-01-15,3628.27
C00023,2025-01-28,2818.13
C00024,2025-01-13,1776.22
C00024,2025-02-21,1781.64
C00024,2025-03-07,1930.32
C00024,2025-04-20,494.53
C00024,2025-05-05,2285.49
C00025,2025-01-20,394.35
C00026,2025-01-20,1692.05
C00027,2025-01-12,2528.43
C00028,2025-01-04,3441.07
C00029,2025-01-15,2077.46
C00029,2025-02-05,678.09
C00029,2025-03-09,2070.9
C00030,2025-01-17,385.45
C00031,2025-01-17,1638.48
C00032,2025-01-01,3105.13
C00032,2025-02-21,3494.3
C00033,2025-01-09,2218.07
C00034,2025-01-12,3156.17
C00035,2025-01-25,2159.98
C00036,2025-01-20,3302.59
C00037,2025-01-28,1022.04
C00037,2025-02-13,3037.53
C00037,2025-03-17,2123.29
C00038,2025-01-01,3223.42
C00039,2025-01-07,2862.33
C00040,2025-01-15,3291.69
C00041,2025-01-12,3833.5
C00041,2025-02-08,677.98
C00042,2025-01-11,1056.18
C00043,2025-01-20,3409.61
C00044,2025-01-21,1572.83
C00045,2025-01-27,2744.17
C00046,2025-01-26,2932.52
C00046,2025-02-06,1905.52
C00047,2025-01-03,3263.05
C00048,2025-01-13,2013.69
C00049,2025-01-03,2981.76
C00049,2025-02-05,401.93
C00050,2025-01-15,3284.06
C00050,2025-02-27,2504.72
C00051,2025-01-12,876.88
C00052,2025-01-01,352.7
C00053,2025-01-21,680.26
C00054,2025-01-05,1905.09
C00055,2025-01-27,3533.46
C00055,2025-02-07,1383.98
C00055,2025-03-19,1506.16
C00056,2025-01-27,784.97
C00057,2025-01-12,3621.5
C00058,2025-01-27,3645.9
C00059,2025-01-17,783.82
C00059,2025-02-17,369.21
C00060,2025-01-06,2551.65
C00061,2025-01-05,937.68
C00062,2025-01-24,745.25
C00062,2025-02-22,2217.89
C00063,2025-01-26,3173.01
C00064,2025-01-02,1219.43
C00064,2025-02-25,661.66
C00065,2025-01-01,3111.97
C00066,2025-01-15,1504.77
C00067,2025-01-20,2195.0
C00068,2025-01-15,2180.18
C00069,2025-01-17,3783.55
C00070,2025-01-09,3714.3
C00071,2025-01-07,3408.0
C00071,2025-02-04,1751.75
C00071,2025-03-22,1190.36
C00071,2025-04-22,1420.29
C00071,2025-05-25,871.45
C00072,2025-01-22,1654.88
C00072,2025-02-05,3879.92
C00072,2025-03-04,1773.55
C00073,2025-01-22,3380.05
C00073,2025-02-14,3978.07
C00073,2025-03-14,1024.26
C00073,2025-04-24,1654.02
C00073,2025-05-15,1929.69
C00073,2025-06-11,2214.51
C00073,2025-07-03,717.54
C00074,2025-01-08,3895.28
C00074,2025-02-09,1306.11
C00075,2025-01-06,1300.65
C00075,2025-02-14,3443.47
C00076,2025-01-09,1802.01
C00077,2025-01-17,2411.2
C00078,2025-01-03,1332.53
C00079,2025-01-06,1873.67
C00079,2025-02-01,2647.43
C00080,2025-01-03,2550.26
C00080,2025-02-09,3492.27
C00081,2025-01-11,3978.93
C00081,2025-02-09,2600.3
C00081,2025-03-23,1182.21
C00081,2025-04-06,1269.01
C00081,2025-05-10,2626.08
C00082,2025-01-07,1372.86
C00083,2025-01-06,1300.93
C00084,2025-01-09,436.71
C00084,2025-02-17,2338.88
C00084,2025-03-16,1209.01
C00085,2025-01-22,3330.0
C00086,2025-01-16,2319.85
C00087,2025-01-17,1438.8
C00087,2025-02-08,1568.01
C00088,2025-01-23,2996.72
C00088,2025-02-12,3932.96
C00089,2025-01-01,561.67
C00090,2025-01-09,1893.74
C00090,2025-02-22,3412.7
C00091,2025-01-22,3892.44
C00092,2025-01-23,1384.32
C00093,2025-01-06,1295.44
C00093,2025-02-12,3858.61
C00094,2025-01-18,1497.08
C00094,2025-02-10,1106.1
C00094,2025-03-11,1712.02
C00095,2025-01-17,2727.27
